#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp3[mbar]2	p3[mbar]	dp3[mbar]
0	0	1000	3	1000	3	1000	3
10	0.2	660.9	1.9827	646.3	1.9389	659	1.977
20	0.2	488.1	1.4643	498.3	1.4949	474.6	1.4238
30	0.2	364.7	1.0941	360.3	1.0809	364	1.092
40	0.2	271.5	0.8145	268.6	0.8058	271.6	0.8148
50	0.2	199.6	0.5988	198.4	0.5952	201.9	0.6057
60	0.2	145.1	0.4353	144.2	0.4326	146.8	0.4404
70	0.2	106.2	0.3186	106	0.318	107.6	0.3228
80	0.2	79.3	0.2379	77.1	0.2313	78.1	0.2343
90	0.2	58.1	0.1743	56.3	0.1689	57	0.171
100	0.2	41.9	0.1257	40.9	0.1227	41.6	0.1248
110	0.2	30.2	0.0906	29.6	0.0888	29.9	0.0897
120	0.2	21.8	0.0654	21.5	0.0645	21.9	0.0657
130	0.2	16	0.048	15.5	0.0465	15.9	0.0477
140	0.2	11.3	0.0339	11.3	0.0339	11.6	0.0348
150	0.2	8.3	0.83	8.2	0.82	8.3	0.83
160	0.2	6.1	0.61	6	0.6	6.1	0.61
170	0.2	4.5	0.45	4.5	0.45	4.5	0.45
180	0.2	3.6	0.36	3.5	0.35	3.5	0.35
190	0.2	2.9	0.29	2.8	0.28	2.8	0.28
200	0.2	2.2	0.22	2.2	0.22	2.2	0.22
210	0.2	1.9	0.19	1.9	0.19	1.9	0.19
220	0.2	1.6	0.16	1.6	0.16	1.6	0.16
230	0.2	1.4	0.14	1.4	0.14	1.4	0.14
240	0.2	1.2	0.12	1.2	0.12	1.2	0.12
250	0.2	1	0.1	1.1	0.11	1.1	0.11
260	0.2	0.9	0.09	0.93	0.093	0.94	0.094
270	0.2	0.84	0.084	0.84	0.084	0.85	0.085
280	0.2	0.76	0.076	0.77	0.077	0.76	0.076
290	0.2	0.68	0.068	0.69	0.069	0.69	0.069
300	0.2	0.64	0.064	0.64	0.064	0.64	0.064
310	0.2	0.6	0.06	0.59	0.059	0.59	0.059
320	0.2	0.55	0.055	0.55	0.055	0.55	0.055
330	0.2	0.5	0.05	0.51	0.051	0.51	0.051
340	0.2	0.57	0.057	0.47	0.047	0.48	0.048
350	0.2	0.44	0.044	0.44	0.044	0.44	0.044
360	0.2	0.42	0.042	0.42	0.042	0.42	0.042
370	0.2	0.4	0.04	0.39	0.039	0.41	0.041
380	0.2	0.37	0.037	0.38	0.038	0.37	0.037
390	0.2	0.35	0.035	0.35	0.035	0.35	0.035
400	0.2	0.33	0.033	0.33	0.033	0.33	0.033
410	0.2	0.32	0.032	0.31	0.031	0.32	0.032
420	0.2	0.31	0.031	0.3	0.03	0.3	0.03
430	0.2	0.29	0.029	0.29	0.029	0.29	0.029
440	0.2	0.28	0.028	0.28	0.028	0.27	0.027
450	0.2	0.27	0.027	0.26	0.026	0.26	0.026
460	0.2	0.25	0.025	0.25	0.025	0.25	0.025
470	0.2	0.24	0.024	0.24	0.024	0.24	0.024
480	0.2	0.23	0.023	0.23	0.023	0.23	0.023
490	0.2	0.23	0.023	0.22	0.022	0.22	0.022
500	0.2	0.22	0.022	0.21	0.021	0.21	0.021
510	0.2	0.21	0.021	0.2	0.02	0.21	0.021
520	0.2	0.2	0.02	0.2	0.02	0.2	0.02
530	0.2	0.19	0.019	0.19	0.019	0.19	0.019
540	0.2	0.19	0.019	0.19	0.019	0.18	0.018
550	0.2	0.18	0.018	0.18	0.018	0.18	0.018
560	0.2	0.17	0.017	0.17	0.017	0.17	0.017
570	0.2	0.16	0.016	0.17	0.017	0.16	0.016
580	0.2	0.15	0.015	0.16	0.016	0.15	0.015
590	0.2	0.15	0.015	0.16	0.016	0.15	0.015
600	0.2	0.14	0.014	0.15	0.015	0.14	0.014
