#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	7.00E-05	2.10E-05	7.00E-05	2.10E-05	7.00E-05	2.10E-05
10	0.2	1.78E-04	5.34E-05	1.87E-04	5.61E-05	1.78E-04	5.34E-05
20	0.2	2.81E-04	8.43E-05	2.94E-04	8.82E-05	2.78E-04	8.34E-05
30	0.2	3.73E-04	1.12E-04	3.80E-04	1.14E-04	3.78E-04	1.13E-04
40	0.2	4.58E-04	1.37E-04	4.67E-04	1.40E-04	4.67E-04	1.40E-04
50	0.2	5.38E-04	1.61E-04	5.45E-04	1.64E-04	5.53E-04	1.66E-04
60	0.2	6.20E-04	1.86E-04	6.29E-04	1.89E-04	6.39E-04	1.92E-04
70	0.2	7.03E-04	2.11E-04	7.07E-04	2.12E-04	7.12E-04	2.14E-04
80	0.2	7.91E-04	2.37E-04	7.96E-04	2.39E-04	8.05E-04	2.42E-04
90	0.2	8.95E-04	2.69E-04	8.99E-04	2.70E-04	9.13E-04	2.74E-04
100	0.2	1.00E-03	3.00E-04	1.01E-03	3.03E-04	1.03E-03	3.09E-04
110	0.2	1.12E-03	3.36E-04	1.12E-03	3.36E-04	1.14E-03	3.42E-04
120	0.2	1.24E-03	3.72E-04	1.24E-03	3.72E-04	1.36E-03	4.08E-04
